spec_function,source_path,source_line,definition,doc_comment,math_interpretation,informal_interpretation
spec_extended_gcd,curve25519-dalek/src/lemmas/common_lemmas/number_theory_lemmas.rs,908,"pub open spec fn spec_extended_gcd(a: nat, b: nat) -> ExtGcdResult\n    decreases b,\n{\n    if b == 0 {\n        ExtGcdResult { gcd: a, x: 1, y: 0 }\n    } else {\n        let r = spec_extended_gcd(b, a % b);\n        ExtGcdResult { gcd: r.gcd, x: r.y, y: r.x - (a / b) as int * r.y }\n    }\n}","Spec function: Extended Euclidean Algorithm\n\nComputes (gcd, x, y) such that gcd(a, b) = a*x + b*y (Bezout's identity)\n\nThis is a constructive algorithm that produces the Bezout coefficients.\nBase case: gcd(a, 0) = a = a*1 + 0*0, so (a, 1, 0)\nRecursive case: if gcd(b, a%b) = b*x' + (a%b)*y' = b*x' + (a - b*(a/b))*y'\n= a*y' + b*(x' - (a/b)*y')\nso (gcd, y', x' - (a/b)*y')","gcd(a,b) = ax + by (Bezout coefficients)","Spec function: Extended Euclidean Algorithm\n\nComputes (gcd, x, y) such that gcd(a, b) = a*x + b*y (Bezout's identity)\n\nThis is a constructive algorithm that produces the Bezout coefficients.\nBase case: gcd(a, 0) = a = a*1 + 0*0, so (a, 1, 0)\nRecursive case: if gcd(b, a%b) = b*x' + (a%b)*y' = b*x' + (a - b*(a/b))*y'\n= a*y' + b*(x' - (a/b)*y')\nso (gcd, y', x' - (a/b)*y')"
fe51_as_canonical_nat,curve25519-dalek/src/specs/field_specs.rs,75,pub open spec fn fe51_as_canonical_nat(fe: &FieldElement51) -> nat {\n    fe51_as_nat(fe) % p()\n},"Returns the canonical mathematical value of a field element in [0, p)\nwhere p = 2^255 - 19","fe -> fe mod p, canonical in [0, p)",Interprets a field element value as an integer modulo the prime p.
fe51_as_nat,curve25519-dalek/src/specs/field_specs.rs,69,pub open spec fn fe51_as_nat(fe: &FieldElement51) -> nat {\n    u64_5_as_nat(fe.limbs)\n},,sum_i limb[i] * 2^(51i),
field_element_from_bytes,curve25519-dalek/src/specs/field_specs.rs,98,pub open spec fn field_element_from_bytes(bytes: &[u8; 32]) -> nat {\n    (u8_32_as_nat(bytes) % pow2(255)) % p()\n},"Returns the canonical mathematical value when creating a field element from bytes.\nThe bytes are interpreted as a little-endian integer with the high bit of byte[31] ignored.\nThe result is the canonical value in [0, p) where p = 2^255 - 19.",LE(b) mod 2^255 mod p,Interprets 32 bytes as a field element (spec-level decoding).
fe51_as_canonical_nat_sign_bit,curve25519-dalek/src/specs/field_specs.rs,104,pub open spec fn fe51_as_canonical_nat_sign_bit(fe: &FieldElement51) -> u8 {\n    ((fe51_as_canonical_nat(fe) % p()) % 2) as u8\n},"Spec function: Get the sign bit of a field element\nIn Curve25519, the sign bit is the least significant bit of the canonical representation",(fe mod p) mod 2 (parity bit),Returns the sign bit used in point compression (typically the parity of x).
spec_gcd,curve25519-dalek/src/lemmas/common_lemmas/number_theory_lemmas.rs,27,"pub open spec fn spec_gcd(a: nat, b: nat) -> nat\n    decreases b,\n{\n    if b == 0 {\n        a\n    } else {\n        spec_gcd(b, a % b)\n    }\n}","Spec function: Greatest Common Divisor using Euclidean algorithm\n\nThis is a constructive definition that computes gcd(a, b) recursively.\nThe algorithm is: gcd(a, 0) = a; gcd(a, b) = gcd(b, a % b) for b > 0","gcd(a, b) via Euclidean algorithm","Spec function: Greatest Common Divisor using Euclidean algorithm\n\nThis is a constructive definition that computes gcd(a, b) recursively.\nThe algorithm is: gcd(a, 0) = a; gcd(a, b) = gcd(b, a % b) for b > 0"
spec_mod_inverse,curve25519-dalek/src/lemmas/common_lemmas/number_theory_lemmas.rs,980,"pub open spec fn spec_mod_inverse(a: nat, m: nat) -> nat\n    recommends\n        m > 1,\n        spec_gcd(a % m, m) == 1,\n{\n    if m <= 1 || spec_gcd(a % m, m) != 1 {\n        0  // Undefined case - return 0 by convention\n\n    } else {\n        let r = spec_extended_gcd(a % m, m);\n        // r.x might be negative, so normalize to [0, m)\n        (((r.x % (m as int)) + (m as int)) % (m as int)) as nat\n    }\n}","Spec function: Compute modular inverse using extended Euclidean algorithm\n\nFor a and m coprime (gcd(a, m) = 1), returns the unique x in [0, m) such that\na * x ≡ 1 (mod m).\n\nThe inverse is computed from Bezout's identity: a*x + m*y = 1\nTaking mod m: (a*x) % m = 1\n\nWe normalize the result to be in [0, m) by computing x % m (handling negative x).","a^(-1) mod m, via extended GCD","Spec function: Compute modular inverse using extended Euclidean algorithm\n\nFor a and m coprime (gcd(a, m) = 1), returns the unique x in [0, m) such that\na * x ≡ 1 (mod m).\n\nThe inverse is computed from Bezout's identity: a*x + m*y = 1\nTaking mod m: (a*x) % m = 1\n\nWe normalize the result to be in [0, m) by computing x % m (handling negative x)."
spec_montgomery,curve25519-dalek/src/specs/montgomery_specs.rs,206,pub open spec fn spec_montgomery(point: crate::montgomery::MontgomeryPoint) -> nat {\n    field_element_from_bytes(&point.0)\n},Returns the u-coordinate of a Montgomery point as a field element\nMontgomery points only store the u-coordinate; sign information is lost,MontgomeryPoint -> u in F_p,Interprets a `MontgomeryPoint` as a field element u-coordinate (spec-level).
spec_ristretto_basepoint,curve25519-dalek/src/specs/ristretto_specs.rs,194,"pub open spec fn spec_ristretto_basepoint() -> (nat, nat) {\n    spec_ed25519_basepoint()\n}",The canonical representative of the Ristretto basepoint.\n\nThe Ristretto basepoint is the equivalence class [B] where B is the\nEd25519 basepoint. We use B itself as the canonical representative.,[B] (Ristretto basepoint = Ed25519 B),Returns the Ristretto basepoint (spec-level).
spec_ristretto_compress,curve25519-dalek/src/specs/ristretto_specs.rs,113,"pub open spec fn spec_ristretto_compress(point: RistrettoPoint) -> [u8; 32] {\n    let (x, y, z, t) = spec_edwards_point(point.0);\n    spec_ristretto_compress_extended(x, y, z, t)\n}","Spec-only model of Ristretto compression from a RistrettoPoint.\n\nThis captures the canonical encoding of a Ristretto point.\nReference: [RISTRETTO], §5.3 ""Ristretto255 Encoding""","E/~ -> [u8;32], Ristretto encoding",Spec-level function computing the canonical compressed encoding of a Ristretto point.
spec_ristretto_compress_extended,curve25519-dalek/src/specs/ristretto_specs.rs,61,"pub open spec fn spec_ristretto_compress_extended(x: nat, y: nat, z: nat, t: nat) -> [u8; 32] {\n    let u1 = field_mul(field_add(z, y), field_sub(z, y));\n    let u2 = field_mul(x, y);\n    let invsqrt = nat_invsqrt(field_mul(u1, field_square(u2)));\n    let i1 = field_mul(invsqrt, u1);\n    let i2 = field_mul(invsqrt, u2);\n    let z_inv = field_mul(i1, field_mul(i2, t));\n    let den_inv = i2;\n\n    let iX = field_mul(x, sqrt_m1());\n    let iY = field_mul(y, sqrt_m1());\n    let enchanted_denominator = field_mul(\n        i1,\n        fe51_as_canonical_nat(&u64_constants::INVSQRT_A_MINUS_D),\n    );\n\n    let rotate = is_negative(field_mul(t, z_inv));\n    let x_rot = if rotate {\n        iY\n    } else {\n        x\n    };\n    let y_rot = if rotate {\n        iX\n    } else {\n        y\n    };\n    let den_inv_rot = if rotate {\n        enchanted_denominator\n    } else {\n        den_inv\n    };\n\n    let y_final = if is_negative(field_mul(x_rot, z_inv)) {\n        field_neg(y_rot)\n    } else {\n        y_rot\n    };\n    let s = field_mul(den_inv_rot, field_sub(z, y_final));\n    let s_final = if is_negative(s) {\n        field_neg(s)\n    } else {\n        s\n    };\n\n    u8_32_from_nat(s_final)\n}","Core Ristretto compression from extended coordinates (X, Y, Z, T).\nReference: [RISTRETTO], §5.3 ""Ristretto255 Encoding"";\n[DECAF], Section 6 (encoding formulas), and https://ristretto.group/formulas/encoding.html.","(X,Y,Z,T) -> [u8;32], core encoding","Core Ristretto compression from extended coordinates (X, Y, Z, T).\nReference: [RISTRETTO], §5.3 ""Ristretto255 Encoding"";\n[DECAF], Section 6 (encoding formulas), and https://ristretto.group/formulas/encoding.html."
spec_ristretto_decompress,curve25519-dalek/src/specs/ristretto_specs.rs,131,"pub open spec fn spec_ristretto_decompress(bytes: [u8; 32]) -> Option<RistrettoPoint> {\n    let s_bytes_nat = u8_32_as_nat(&bytes);\n    let s = field_element_from_bytes(&bytes);\n    let s_encoding_is_canonical = s_bytes_nat < p();\n    let s_is_negative = is_negative(s);\n\n    if !s_encoding_is_canonical || s_is_negative {\n        None\n    } else {\n        let ss = field_square(s);\n        let u1 = field_sub(1, ss);\n        let u2 = field_add(1, ss);\n        let u2_sqr = field_square(u2);\n        let neg_d = field_neg(fe51_as_canonical_nat(&EDWARDS_D));\n        let u1_sqr = field_square(u1);\n        let v = field_sub(field_mul(neg_d, u1_sqr), u2_sqr);\n\n        let invsqrt_input = field_mul(v, u2_sqr);\n        let invsqrt = nat_invsqrt(invsqrt_input);\n        let ok = is_sqrt_ratio(1, invsqrt_input, invsqrt);\n\n        let dx = field_mul(invsqrt, u2);\n        let dy = field_mul(invsqrt, field_mul(dx, v));\n        let x_tmp = field_mul(field_add(s, s), dx);\n        let x = if is_negative(x_tmp) {\n            field_neg(x_tmp)\n        } else {\n            x_tmp\n        };\n        let y = field_mul(u1, dy);\n        let t = field_mul(x, y);\n\n        let t_is_negative = is_negative(t);\n        let y_is_zero = y == 0;\n\n        if !ok || t_is_negative || y_is_zero {\n            None\n        } else if exists|p: RistrettoPoint| #![auto] spec_edwards_point(p.0) == (x, y, 1nat, t) {\n            Some(choose|p: RistrettoPoint| #![auto] spec_edwards_point(p.0) == (x, y, 1nat, t))\n        } else {\n            None\n        }\n    }\n}","Spec-only model of Ristretto decompression.\nReference: [RISTRETTO], §5.2 ""Ristretto255 Decoding"";\n[DECAF], Section 6 (decoding formulas), and https://ristretto.group/formulas/decoding.html.","[u8;32] -> Option<E/~>, Ristretto decoding",Spec-level function decoding a compressed Ristretto encoding to an optional point.
sqrt_m1,curve25519-dalek/src/specs/field_specs.rs,584,pub open spec fn sqrt_m1() -> nat {\n    fe51_as_canonical_nat(&constants::SQRT_M1)\n},The mathematical value of SQRT_M1 (sqrt(-1) mod p)\nThis is the 4th root of unity i such that i² = -1 (mod p),i in F_p : i^2 = -1 (mod p),The mathematical value of SQRT_M1 (sqrt(-1) mod p)\nThis is the 4th root of unity i such that i² = -1 (mod p)
sum_of_limbs_bounded,curve25519-dalek/src/specs/field_specs.rs,32,"pub open spec fn sum_of_limbs_bounded(\n    fe1: &FieldElement51,\n    fe2: &FieldElement51,\n    bound: u64,\n) -> bool {\n    forall|i: int| 0 <= i < 5 ==> fe1.limbs[i] + fe2.limbs[i] < bound\n}",Spec predicate: sum of limbs are bounded by a given bit limit,forall i. limb1[i] + limb2[i] < bound,Checks that adding two field-element limb arrays stays within a safe bound (used to justify u64/u128 arithmetic).
u64_5_as_nat,curve25519-dalek/src/specs/field_specs_u64.rs,52,pub open spec fn u64_5_as_nat(limbs: [u64; 5]) -> nat {\n                (limbs[0] as nat) +\n    pow2( 51) * (limbs[1] as nat) +\n    pow2(102) * (limbs[2] as nat) +\n    pow2(153) * (limbs[3] as nat) +\n    pow2(204) * (limbs[4] as nat)\n},,"sum_i limb[i] * 2^(51i), radix-2^51",
